"","year","country","GDP","GDPpc"
"1",1960,"World",NA,NA
"2",1961,"World",4.29918308195691,2.90591943503027
"3",1962,"World",5.55413660359478,3.76502190237858
"4",1963,"World",5.35067756620413,3.20086805258654
"5",1964,"World",6.71355681792294,4.56685017010112
"6",1965,"World",5.51964440611283,3.39498952475626
"7",1966,"World",5.76849813773286,3.58461815895805
"8",1967,"World",4.48595098085791,2.39082338580445
"9",1968,"World",6.31352836560288,4.19598159957266
"10",1969,"World",6.11362814312781,3.91713868297425
"11",1970,"World",3.85987375703043,1.7332457560008
"12",1971,"World",4.34152325743152,2.18843962013915
"13",1972,"World",5.72382344767158,3.61910866180521
"14",1973,"World",6.50525271058345,4.45115152351237
"15",1974,"World",1.99594553474545,0.0490820675969132
"16",1975,"World",0.603101336836971,-1.23882244017199
"17",1976,"World",5.26935520826875,3.42246771803079
"18",1977,"World",3.93167714024986,2.14466656356724
"19",1978,"World",3.89217831329493,2.10747760672869
"20",1979,"World",4.12722123711957,2.3243490482032
"21",1980,"World",1.90309343934842,0.151894949339422
"22",1981,"World",1.9275140075116,0.160351960447812
"23",1982,"World",0.423811737893971,-1.35193117557344
"24",1983,"World",2.41106597373206,0.616128570422731
"25",1984,"World",4.50486538530446,2.71075698934129
"26",1985,"World",3.71063583582458,1.92834920267326
"27",1986,"World",3.39450985129825,1.59603765397584
"28",1987,"World",3.70789618012799,1.8909660386128
"29",1988,"World",4.61908187329013,2.79913054661407
"30",1989,"World",3.67466134322669,1.9028118848683
"31",1990,"World",2.90949442488177,1.15383146269572
"32",1991,"World",1.41886837530262,-0.243510305575811
"33",1992,"World",1.76386888858859,0.190763849261913
"34",1993,"World",1.53112826798998,-0.0303229342647455
"35",1994,"World",3.00120765116208,1.45712678429481
"36",1995,"World",3.03658854203155,1.50365017630733
"37",1996,"World",3.38452035675512,1.90356610870361
"38",1997,"World",3.46610155225278,2.01019392184682
"39",1998,"World",2.55732309815362,1.14916512980537
"40",1999,"World",3.24920337802097,1.87209640947152
"41",2000,"World",4.38807708017993,3.02498090341858
"42",2001,"World",1.96078124801227,0.654691599849187
"43",2002,"World",2.1823796774657,0.894156605977116
"44",2003,"World",2.96593220546153,1.68322088611157
"45",2004,"World",4.40840084348231,3.11506721580479
"46",2005,"World",3.91611492851835,2.63631546110894
"47",2006,"World",4.37819663780303,3.09599873801483
"48",2007,"World",4.32213629244093,3.04872123943059
"49",2008,"World",1.85232660162444,0.605509822833696
"50",2009,"World",-1.67364137627808,-2.86191740060566
"51",2010,"World",4.30301651760961,3.06290995297964
"52",2011,"World",3.1377741288193,1.94497747525766
"53",2012,"World",2.51850732689269,1.31906085342102
"54",2013,"World",2.66597893243765,1.46491124261171
"55",2014,"World",2.86109839141326,1.66167803949881
"56",2015,"World",2.87394930113433,1.68613326981148
"57",2016,"World",2.60578989614642,1.42662629393564
"58",2017,"World",3.29862797064216,2.13223671946892
"59",2018,"World",2.97677626566215,1.85272088180508
"60",2019,"World",2.3646167466998,1.27622691315817
"61",1960,"United States",NA,NA
"62",1961,"United States",2.29999999999968,0.618121192654741
"63",1962,"United States",6.10000000000012,4.48066935423358
"64",1963,"United States",4.39999999999992,2.90827194808753
"65",1964,"United States",5.8000000000003,4.34054896320299
"66",1965,"United States",6.39999999999976,5.07809761043293
"67",1966,"United States",6.50000000000028,5.27711385836413
"68",1967,"United States",2.50000000000003,1.38995128628369
"69",1968,"United States",4.79999999999959,3.75881936763187
"70",1969,"United States",3.09999999999999,2.09736970647879
"71",1970,"United States",-0.322760835616648,-1.47726526871367
"72",1971,"United States",3.29336238703934,1.99561084742533
"73",1972,"United States",5.25889534832913,4.13808489408744
"74",1973,"United States",5.64571947321326,4.64215269077562
"75",1974,"United States",-0.540546529606971,-1.44512926829744
"76",1975,"United States",-0.205464005057081,-1.18458927429575
"77",1976,"United States",5.38813922012807,4.39146280087471
"78",1977,"United States",4.62415921177256,3.57715279191619
"79",1978,"United States",5.53530269624309,4.42298236861372
"80",1979,"United States",3.16615026772367,2.0338919701463
"81",1980,"United States",-0.256751936461413,-1.2093005041713
"82",1981,"United States",2.53771870053738,1.53631968016879
"83",1982,"United States",-1.80287445201735,-2.73455689708636
"84",1983,"United States",4.58392730884007,3.63199312241278
"85",1984,"United States",7.23662000401062,6.31215462303678
"86",1985,"United States",4.16965594529771,3.25065614776076
